Trade_Time;open;high;low;close;VOL;VB;VS;Delta_Vol;OI;doi;yurl_l;dyl;yurl_s;dys;yurl_l_num;yurl_s_num;fiz_l;fyl;fiz_s;fys
2022-07-21 14:55:00;108720.0;108750.0;108250.0;108650.0;1245;548;697;-149;100372.0;234.0;21809.0;-5.0;5565.0;20.0;25.0;37.0;28377.0;122.0;44621.0;97.0
2022-07-21 15:00:00;108610.0;108830.0;108190.0;108820.0;1452;772;680;92;100546.0;174.0;21828.0;19.0;5600.0;35.0;27.0;37.0;28445.0;68.0;44673.0;52.0
2022-07-21 15:05:00;108790.0;108840.0;108450.0;108660.0;863;372;491;-119;100478.0;-68.0;21829.0;1.0;5617.0;17.0;26.0;38.0;28410.0;-35.0;44622.0;-51.0
2022-07-21 15:10:00;108640.0;109170.0;108530.0;109150.0;1048;587;461;126;100310.0;-168.0;21853.0;24.0;5624.0;7.0;27.0;37.0;28302.0;-108.0;44531.0;-91.0
2022-07-21 15:15:00;109150.0;109220.0;108880.0;109220.0;923;526;397;129;100420.0;110.0;21857.0;4.0;5655.0;31.0;26.0;38.0;28353.0;51.0;44555.0;24.0
2022-07-21 15:20:00;109210.0;109350.0;109100.0;109270.0;646;395;251;144;100404.0;-16.0;21894.0;37.0;5595.0;-60.0;28.0;37.0;28308.0;-45.0;44607.0;52.0
2022-07-21 15:25:00;109260.0;109400.0;109140.0;109190.0;860;386;474;-88;100550.0;146.0;21881.0;-13.0;5515.0;-80.0;26.0;40.0;28394.0;86.0;44760.0;153.0
2022-07-21 15:30:00;109210.0;109470.0;109210.0;109370.0;870;558;312;246;100686.0;136.0;21848.0;-33.0;5519.0;4.0;24.0;38.0;28495.0;101.0;44824.0;64.0
2022-07-21 15:35:00;109360.0;109390.0;109050.0;109120.0;423;141;282;-141;100812.0;126.0;21875.0;27.0;5509.0;-10.0;25.0;36.0;28531.0;36.0;44897.0;73.0
2022-07-21 15:40:00;109120.0;109310.0;109100.0;109300.0;439;280;159;121;100934.0;122.0;21877.0;2.0;5510.0;1.0;25.0;36.0;28590.0;59.0;44957.0;60.0
2022-07-21 15:45:00;109310.0;109310.0;109100.0;109230.0;351;193;158;35;100942.0;8.0;21918.0;41.0;5515.0;5.0;25.0;36.0;28553.0;-37.0;44956.0;-1.0
2022-07-21 15:50:00;109280.0;109490.0;109280.0;109480.0;694;476;218;258;101146.0;204.0;21945.0;27.0;5502.0;-13.0;24.0;39.0;28628.0;75.0;45071.0;115.0
2022-07-21 15:55:00;109470.0;109550.0;109360.0;109530.0;690;490;200;290;101438.0;292.0;22020.0;75.0;5461.0;-41.0;29.0;36.0;28699.0;71.0;45258.0;187.0
2022-07-21 16:00:00;109510.0;109890.0;109500.0;109810.0;1667;1054;613;441;101284.0;-154.0;22047.0;27.0;5374.0;-87.0;26.0;37.0;28595.0;-104.0;45268.0;10.0
2022-07-21 16:05:00;109810.0;110410.0;109810.0;110330.0;2794;1808;986;822;99774.0;-1510.0;21776.0;-271.0;5383.0;9.0;25.0;39.0;28111.0;-484.0;44504.0;-764.0
2022-07-21 16:10:00;110330.0;110370.0;110160.0;110310.0;1163;485;678;-193;98975.0;-799.0;21634.0;-142.0;5377.0;-6.0;26.0;39.0;27854.0;-257.0;44110.0;-394.0
2022-07-21 16:15:00;110310.0;110480.0;109930.0;110070.0;1696;777;919;-142;98768.0;-207.0;21533.0;-101.0;5310.0;-67.0;26.0;37.0;27851.0;-3.0;44074.0;-36.0
2022-07-21 16:20:00;110070.0;110460.0;109580.0;109670.0;2045;826;1219;-393;98482.0;-286.0;21514.0;-19.0;5313.0;3.0;26.0;35.0;27727.0;-124.0;43928.0;-146.0
2022-07-21 16:25:00;109670.0;110240.0;109630.0;110090.0;1213;734;479;255;98448.0;-34.0;21411.0;-103.0;5323.0;10.0;24.0;37.0;27813.0;86.0;43901.0;-27.0
2022-07-21 16:30:00;110110.0;110130.0;109690.0;109730.0;849;253;596;-343;98470.0;22.0;21438.0;27.0;5290.0;-33.0;25.0;36.0;27797.0;-16.0;43945.0;44.0
2022-07-21 16:35:00;109720.0;110040.0;109510.0;109750.0;1561;720;841;-121;97906.0;-564.0;21477.0;39.0;5287.0;-3.0;25.0;36.0;27476.0;-321.0;43666.0;-279.0
2022-07-21 16:40:00;109750.0;109940.0;109710.0;109830.0;387;199;188;11;97900.0;-6.0;21453.0;-24.0;5262.0;-25.0;25.0;36.0;27497.0;21.0;43688.0;22.0
2022-07-21 16:45:00;109830.0;110090.0;109800.0;109880.0;486;277;209;68;97860.0;-40.0;21457.0;4.0;5231.0;-31.0;24.0;37.0;27473.0;-24.0;43699.0;11.0
2022-07-21 16:50:00;109890.0;110270.0;109890.0;110160.0;745;424;321;103;97632.0;-228.0;21438.0;-19.0;5165.0;-66.0;24.0;37.0;27378.0;-95.0;43651.0;-48.0
2022-07-21 16:55:00;110140.0;110230.0;110040.0;110230.0;398;200;198;2;97462.0;-170.0;21431.0;-7.0;5095.0;-70.0;24.0;37.0;27300.0;-78.0;43636.0;-15.0
2022-07-21 17:00:00;110230.0;110340.0;109900.0;109940.0;890;369;521;-152;97412.0;-50.0;21463.0;32.0;5017.0;-78.0;25.0;37.0;27243.0;-57.0;43689.0;53.0
2022-07-21 17:05:00;109920.0;110860.0;109920.0;110750.0;2061;1462;599;863;97122.0;-290.0;21338.0;-125.0;4965.0;-52.0;24.0;37.0;27223.0;-20.0;43596.0;-93.0
2022-07-21 17:10:00;110770.0;110820.0;110480.0;110630.0;853;296;557;-261;96812.0;-310.0;21289.0;-49.0;4856.0;-109.0;25.0;36.0;27117.0;-106.0;43550.0;-46.0
2022-07-21 17:15:00;110640.0;110970.0;110570.0;110830.0;957;550;407;143;96405.0;-407.0;21172.0;-117.0;4835.0;-21.0;24.0;38.0;27031.0;-86.0;43367.0;-183.0
2022-07-21 17:20:00;110840.0;110980.0;110250.0;110290.0;1766;575;1191;-616;96650.0;245.0;21304.0;132.0;4710.0;-125.0;26.0;35.0;27021.0;-10.0;43615.0;248.0
2022-07-21 17:25:00;110270.0;110370.0;109970.0;110050.0;1770;654;1116;-462;96982.0;332.0;21394.0;90.0;4648.0;-62.0;26.0;36.0;27097.0;76.0;43843.0;228.0
2022-07-21 17:30:00;110050.0;110250.0;109700.0;109770.0;1758;655;1103;-448;96878.0;-104.0;21479.0;85.0;4563.0;-85.0;26.0;36.0;26960.0;-137.0;43876.0;33.0
2022-07-21 17:35:00;109780.0;109970.0;109710.0;109730.0;852;420;432;-12;96872.0;-6.0;21438.0;-41.0;4489.0;-74.0;25.0;36.0;26998.0;38.0;43947.0;71.0
2022-07-21 17:40:00;109710.0;110100.0;109640.0;110050.0;1200;644;556;88;96842.0;-30.0;21421.0;-17.0;4432.0;-57.0;23.0;36.0;27000.0;2.0;43989.0;42.0
2022-07-21 17:45:00;110070.0;110290.0;110050.0;110150.0;789;496;293;203;96642.0;-200.0;21392.0;-29.0;4383.0;-49.0;24.0;36.0;26929.0;-71.0;43938.0;-51.0
2022-07-21 17:50:00;110180.0;110280.0;109820.0;109880.0;840;328;512;-184;96432.0;-210.0;21385.0;-7.0;4276.0;-107.0;23.0;35.0;26831.0;-98.0;43940.0;2.0
